,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
233,6241,6th Gen AMD PRO A10-8770E APU,amd,4,35,2800,AM4,DDR4,FALSE,x64,35,28
234,6036,6th Gen AMD PRO A10-8750B APU,amd,4,65,3600,FM2+,DDR3,FALSE,x64,65,28
235,6041,6th Gen AMD PRO A8-8650B APU,amd,4,65,3200,FM2+,DDR3,FALSE,x64,65,28
236,6151,6th Gen AMD PRO A6-8570 APU,amd,2,65,3500,AM4,DDR4,FALSE,x64,65,28
237,6156,6th Gen AMD PRO A6-8570E APU,amd,2,35,3000,AM4,DDR4,FALSE,x64,35,28
238,6046,6th Gen AMD PRO A6-8550B APU,amd,2,65,3700,FM2+,DDR3,FALSE,x64,65,28
239,6051,6th Gen AMD PRO A4-8350B APU,amd,2,65,3500,FM2+,DDR3,FALSE,x64,65,28
240,6246,6th Gen AMD PRO A12-8830B APU,amd,4,,2500,FP4,DDR4,FALSE,x64,,28
241,5691,6th Gen AMD PRO A12-8800B APU,amd,4,15,2100,FP4,DDR3,FALSE,x64,15,28
242,6251,6th Gen AMD PRO A10-8730B APU,amd,4,,2400,FP4,DDR4,FALSE,x64,,28
243,6066,6th Gen AMD PRO A10-8700B APU,amd,4,15,1800,FP4,DDR3,FALSE,x64,15,28
244,6061,6th Gen AMD PRO A8-8600B APU,amd,4,15,1600,FP4,DDR3,FALSE,x64,15,28
245,6256,6th Gen AMD PRO A6-8530B APU,amd,2,,2300,FP4,DDR4,FALSE,x64,,28
246,6056,6th Gen AMD PRO A6-8500B APU,amd,2,15,1600,FP4,DDR3,FALSE,x64,15,28
247,5916,6th Gen FX-8800P APU,amd,4,15,2100,FP4,DDR3,FALSE,x64,15,28
248,6101,A10-7890K with Radeon R7 Graphics and Wraith cooler,amd,4,95,4100,FM2+,DDR3,FALSE,x64,95,28
249,6026,A10-7870K with Radeon R7 Series,amd,4,95,3900,FM2+,DDR3,FALSE,x64,95,28
250,6106,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,amd,4,95,3900,FM2+,DDR3,FALSE,x64,95,28
251,6086,A10-7860K with Radeon R7 Series,amd,4,65,3600,FM2+,DDR3,FALSE,x64,65,28
252,6081,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,amd,4,65,3600,FM2+,DDR3,FALSE,x64,65,28
253,5706,A10-7850K with Radeon R7 Series,amd,4,95,3700,FM2+,DDR3,FALSE,x64,95,28
254,5701,A10-7800 with Radeon R7 Series,amd,4,,3500,FM2+,DDR3,FALSE,x64,,28
255,5696,A10-7700K with Radeon R7 Series,amd,4,,3400,FM2+,DDR3,FALSE,x64,,28
256,5341,A10-6800K with Radeon HD 8670D,amd,4,100,4100,FM2,DDR3,FALSE,x64,100,32
257,5336,A10-6790K with Radeon HD 8670D,amd,4,100,4000,FM2,DDR3,FALSE,x64,100,32
258,5326,A10-6700 with Radeon HD 8670D,amd,4,65,3700,FM2,DDR3,FALSE,x64,65,32
259,5331,A10-6700T with Radeon HD 8650D,amd,4,45,2500,FM2,DDR3,FALSE,x64,45,32
